Comments,Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth (MCD) (CCSF),Depth comp [mcd] (two-site composite (Depth CCS...),Ca_Area,Ca_Area_corrected,Fe_Area,Fe_Area_corrected,Al_Area,Al_Area_corrected,Al_ DArea,Si_Area,Si_Area_corrected,Si_ DArea,P_Area,P_ DArea,S_Area,S_ DArea,Cl_Area,Cl_Area_corrected,Cl_ DArea,Ar_Area,Ar_ DArea,K_Area,K_Area_corrected,K_ DArea,Ca_ DArea,Ti_Area,Ti_Area_corrected,Ti_ DArea,Cr_Area,Cr_ DArea,Mn_Area,Mn_Area_corrected,Mn_ DArea,Fe_ DArea,Rh_Area,Rh_Area_corrected,Rh_ DArea,Ba_Area,Ba_ DArea
,342,U1408,C,4,H,4,300,,26.1,28.4,29.34,682018,682018,484342,484342,31156,31156,8,298494,298494,18,-832,6,8319,7,133373,,18,-17742,11,143069,,17,28,50384,50384,12,859,10,1163,,11,24,128115,,19,2340,8
,342,U1408,C,4,H,4,320,,26.12,28.42,29.36,708329,708329,450319,450319,31781,31781,8,304246,304246,19,-528,6,5956,7,130957,,17,-16775,11,142773,,16,29,49733,49733,12,1655,10,741,,10,24,126816,,19,2465,8
,342,U1408,C,4,H,4,340,,26.14,28.44,29.38,736646,736646,431562,431562,31719,31719,8,299384,299384,18,-789,6,5954,7,127235,,17,-16175,11,144000,,17,29,51490,51490,11,2054,10,1297,,10,23,119223,,18,2548,8
,342,U1408,C,4,H,4,360,,26.16,28.46,29.40,803908,803908,438160,438160,31537,31537,8,300760,300760,19,-464,6,5242,7,125215,,17,-16449,11,145678,,17,30,49525,49525,12,1716,10,1623,,10,23,119148,,18,2824,8
,342,U1408,C,4,H,4,380,,26.18,28.48,29.42,638463,638463,503534,503534,31324,31324,8,301612,301612,19,-318,6,6012,7,135151,,18,-19547,11,149796,,17,27,50837,50837,12,1649,10,1775,,11,25,129074,,19,2775,8
,342,U1408,C,4,H,4,400,,26.2,28.5,29.44,719625,719625,469243,469243,31968,31968,8,309690,309690,19,-566,6,6187,7,132335,,18,-17267,11,154246,,17,29,51421,51421,12,2107,10,1779,,11,24,126033,,19,2090,8
,342,U1408,C,4,H,4,420,,26.22,28.52,29.46,684470,684470,486522,486522,31300,31300,8,301574,301574,19,-653,6,6128,7,130142,,17,-19511,11,152762,,17,28,49944,49944,12,1644,10,1695,,11,24,124947,,19,1945,8
,342,U1408,C,4,H,4,440,,26.24,28.54,29.48,713850,713850,471678,471678,32363,32363,8,306761,306761,19,-252,6,6014,7,130551,,18,-19703,11,152095,,17,29,53389,53389,12,1697,10,1765,,11,24,129237,,19,2384,8
,342,U1408,C,4,H,4,460,,26.26,28.56,29.50,783688,783688,438167,438167,31358,31358,8,302667,302667,19,-569,6,6600,7,126289,,17,-16046,11,152446,,17,30,48836,48836,11,1279,10,1117,,10,23,123925,,18,2431,8
,342,U1408,C,4,H,4,480,,26.28,28.58,29.52,817168,817168,434073,434073,31933,31933,8,306535,306535,19,-408,6,5509,7,122623,,17,-18401,11,154683,,17,30,49933,49933,12,2166,10,1611,,10,23,131136,,19,1815,8
,342,U1408,C,4,H,4,500,,26.3,28.6,29.54,616594,616594,503246,503246,32940,32940,8,318975,318975,19,-747,6,7291,7,122396,,17,-19369,11,165846,,17,27,52561,52561,12,1569,10,1214,,10,25,125497,,18,1598,8
,342,U1408,C,4,H,4,520,,26.32,28.62,29.56,607650,607650,491392,491392,33632,33632,8,333532,333532,19,-160,6,4439,7,117199,,17,-20722,11,174068,,17,27,52449,52449,12,842,10,1288,,11,24,128664,,18,2928,8
,342,U1408,C,4,H,4,540,,26.34,28.64,29.58,580493,580493,507828,507828,36377,36377,8,350031,350031,20,-45,6,5102,7,111163,,17,-21317,11,184858,,18,26,53835,53835,12,296,10,1322,,10,25,133415,,18,2476,8
,342,U1408,C,4,H,4,560,,26.36,28.66,29.60,466402,466402,530211,530211,37458,37458,9,353017,353017,20,-76,6,5316,7,116323,,17,-20879,11,197000,,18,24,55785,55785,12,630,10,1793,,11,25,128953,,18,1990,8
,342,U1408,C,4,H,4,580,,26.38,28.68,29.62,445096,445096,537437,537437,38404,38404,9,355273,355273,20,281,6,5528,7,118201,,17,-19687,11,196588,,18,24,56649,56649,12,789,10,2464,,11,25,132600,,18,2203,8
,342,U1408,C,4,H,4,600,,26.4,28.7,29.64,442817,442817,555187,555187,35883,35883,8,336045,336045,19,-106,6,6420,7,120582,,17,-21340,11,190801,,18,24,53667,53667,12,894,10,1733,,11,26,130588,,18,2174,8
